what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1442076506178
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1442076506178
os,sysinfo,,,"win32",1442076506298
arch,sysinfo,,,"x86_64",1442076506298
ws,sysinfo,,,"win32",1442076506298
locale,sysinfo,,,"en_IN",1442076506298
processors,sysinfo,,,"4",1442076506298
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1442076506298
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1442076506298
java.specification.name,sysinfo,,,"Java Platform API Specification",1442076506298
java.specification.vendor,sysinfo,,,"Oracle Corporation",1442076506298
java.specification.version,sysinfo,,,"1.8",1442076506298
java.vendor,sysinfo,,,"Oracle Corporation",1442076506298
java.version,sysinfo,,,"1.8.0_31",1442076506298
java.vm.info,sysinfo,,,"mixed mode",1442076506298
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1442076506298
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1442076506298
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1442076506298
java.vm.specification.version,sysinfo,,,"1.8",1442076506298
java.vm.vendor,sysinfo,,,"Oracle Corporation",1442076506298
java.vm.version,sysinfo,,,"25.31-b07",1442076506298
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1442076506684
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1442076507039
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1442076507059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1442076525252
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1442076544486
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1442076544531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1442076545256
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1442076545681
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1442076547532
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1442076554053
